Date,Open,High,Low,Close
12/31/2019,"131.59","133.28","127.79","128.45"
12/30/2019,"134.77","136.00","129.96","131.66"
12/29/2019,"128.30","137.64","127.40","134.64"
12/28/2019,"125.50","129.58","125.50","128.30"
12/27/2019,"126.14","126.66","122.57","125.52"
12/26/2019,"125.26","131.96","124.19","126.16"
12/25/2019,"128.14","128.14","123.38","125.26"
12/24/2019,"127.16","129.46","126.10","128.14"
12/23/2019,"132.49","135.10","126.30","127.25"
12/22/2019,"127.02","133.19","127.00","132.49"
12/21/2019,"128.20","128.44","126.68","127.02"
12/20/2019,"126.60","129.37","126.00","128.20"
12/19/2019,"130.55","133.99","125.77","126.60"
12/18/2019,"121.95","132.27","116.10","130.39"
12/17/2019,"131.52","132.74","120.45","121.95"
12/16/2019,"142.73","142.84","130.00","131.52"
12/15/2019,"142.09","143.85","139.96","142.73"
12/14/2019,"144.19","145.05","141.18","142.09"
12/13/2019,"144.68","145.09","142.73","144.19"
12/12/2019,"142.67","145.73","139.54","144.74"
12/11/2019,"144.94","146.22","142.11","142.67"
12/10/2019,"147.46","147.92","143.94","144.94"
12/09/2019,"151.24","151.64","146.76","147.46"
12/08/2019,"147.21","151.90","146.50","151.24"
12/07/2019,"148.57","149.79","147.14","147.21"
12/06/2019,"148.00","148.92","146.31","148.38"
12/05/2019,"145.12","148.85","143.92","148.01"
12/04/2019,"147.89","151.55","143.25","145.12"
12/03/2019,"148.57","149.95","146.07","147.89"
12/02/2019,"151.21","152.19","147.00","148.57"
12/01/2019,"152.00","152.74","146.00","150.99"
11/30/2019,"152.56","155.29","150.02","152.00"
11/29/2019,"152.28","157.62","149.50","152.56"
11/28/2019,"153.67","154.82","150.36","152.28"
11/27/2019,"148.08","155.87","141.16","153.67"
11/26/2019,"148.03","149.70","143.82","148.08"
11/25/2019,"144.04","151.77","132.20","148.10"
11/24/2019,"151.17","153.16","141.68","144.16"
11/23/2019,"153.35","153.90","146.50","151.17"
11/22/2019,"159.42","162.82","138.93","152.98"
11/21/2019,"175.02","175.62","157.31","159.86"
11/20/2019,"174.39","177.20","173.28","175.16"
11/19/2019,"178.31","178.58","172.70","174.40"
11/18/2019,"185.21","185.21","174.40","178.31"
11/17/2019,"183.10","186.00","180.02","185.21"
11/16/2019,"179.56","183.16","179.17","183.10"
11/15/2019,"184.90","186.21","177.66","179.55"
11/14/2019,"187.31","188.69","182.89","184.90"
